SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
152,2522,RITE BITE WORK OUT CLASSIE50G,,prathamesh enterprise,38.14,60.00,42,1601.89,21069099,8906009531533
153,2524,RITE BITE WORK OUT ALMOUNT 50 G,,prathamesh enterprise,41.31,65.00,7,289.17,21069099,8906009532356
154,2531,MAGIC MINT,,balaji international,75.00,100.00,35,2625.00,,  
155,2532,HARSHEYS COOKIES,,local purchase,61.66,100.00,27,1664.87,,753854500065
156,2553,BHAKAR VADI,,APMC,110.00,250.00,0,0.22,,  
157,2555,FRUIT MIX SPL,,APMC,392.00,800.00,10,3955.07,,  
158,2560,PRINGLES ORIGINAL 40G,,A ONE SANDEEP,50.00,70.00,2,100.00,,5053990107339
159,2562,PRINGLES HOT SPICY 40G,,A ONE SANDEEP,50.00,70.00,2,100.00,,5053990107292
160,2563,ROOHAFZA 800ML,,ajfan,195.00,350.00,64,12480.00,,8964000122013
161,2567,TWININGS GREEN TEA EARLGREY,,A ONE CHOCOLATE,195.00,300.00,2,390.00,,070177173296
162,2569,TWININGS GREEN TEA &FOREST FRUITS,,A ONE SANDEEP,190.00,300.00,1,189.99,,070177283100
163,2598,CHO CHO CHOLATE PASTE 400G,,A ONE SANDEEP,150.00,225.00,1,150.00,,8992952924485
164,2599,FANCU BASKET ROUND 12IN,,MAHAVEER FANCY,150.00,250.00,1,150.00,,  
165,2600,FANCY BASKET ROUND 11IN,,MAHAVEER FANCY,100.00,200.00,1,100.00,,  
166,2604,DRY DATES BLACK BIG,,m/s new royal,200.00,450.00,4,757.60,,  
167,2605,SNICKERS SNACK 25G,,prathamesh enterprise,15.59,20.00,46,645.38,1806,6294001819226
168,2608,TIFFANY CHOCOLATE WAFFER153G,,A ONE SANDEEP,53.00,75.00,2,106.02,,6291003005602
169,2618,PURE HEAVEN RED GRAPE 750ML,,A ONE SANDEEP,150.00,299.00,6,900.00,,5032619300009
170,2619,PURE HEAVEN WHIT GRAP W PEACH 750ML,,A ONE SANDEEP,155.00,299.00,11,1705.00,,5032619300047
171,2625,ALMONT ROCKS,,FINE H M CHOCOLATE,1150.00,1690.00,5,6012.20,,  
172,2627,BISLERI 250ML,,AMAAN MARKETING,4.56,6.00,39,177.82,,8906017290026
173,2637,"CANE R BASKET WW/H13""",,renz,300.00,450.00,1,301.54,,  
174,2638,FANCY GIFT TRAY 300G,,renz,79.00,150.00,13,1032.26,,  
175,2651,FANCY TRAY 9X9,,local purchase,47.13,90.00,40,1885.33,,  
176,2652,GALAXY CRISPY 36GM,,prathamesh enterprise,30.00,40.00,31,837.01,1806,6294001800279
177,2653,PLUMS SOFT,,APMC,490.00,900.00,12,5879.28,,  
178,2655,FOX PASSION MINTS 90G,,A ONE SANDEEP,40.00,60.00,5,200.00,,8992696416611
179,2671,HERSHEYS SYRUP GENUIN 623G,,local purchase,135.00,200.00,3,405.02,,8901071706834
180,2672,TANG LEMON&MINT,,local purchase,50.00,80.00,9,450.00,,7622210382573
181,2686,FOXS CRYSTAL CLEAR 90G,,A ONE SANDEEP,35.00,60.00,1,35.00,,8992696418936
182,2687,ANCHOR 400G,,A ONE SANDEEP,410.00,600.00,1,409.93,,9415007015758
183,2688,TRIDENT WATTER MELON,,A ONE SANDEEP,54.00,120.00,4,216.03,,070221007409
184,2689,TRIDENT SPEARMINT,,local purchase,50.00,120.00,17,849.97,,070221007362
185,2691,TRIDENT CINNAMON,,local purchase,58.33,120.00,9,524.98,,070221007348
186,2699,DEGLET NOOR DATES.,,APMC,160.00,400.00,1,86.08,,  
187,2700,PAPER BOAT AAMRAS 180ML,,AYU INVESTMENTS,14.88,20.00,7,100.01,,8906080600623
188,2701,PAPER BOAT JALJEERA180ML,,AYU INVESTMENTS,14.88,20.00,6,85.72,22029030,8906080600906
189,2702,PAPER BOAT ANAR180ML,,AYU INVESTMENTS,18.60,25.00,5,89.29,22029030,8906080600937
190,2704,PAPER BOAT KOKUM180ML,,AYU INVESTMENTS,14.88,20.00,11,157.15,2202,8906080601088
191,2705,PAPER BOAT SANTRA 180ML,,AYU INVESTMENTS,14.88,20.00,7,100.01,22029030,8906080600944
192,2706,PAPER BOAT ALPHONSO 150ML,,AYU INVESTMENTS,11.64,15.00,10,107.10,22029030,8906080600432
193,2707,PRINGLES SALT& VINEGAR,,jublee,50.00,70.00,1,50.00,,5053990107360
194,2708,PRINGLES orginal 40G,,MAHAVIR,50.00,70.00,8,400.04,,038000845512
195,2710,chiko kokanaut,,anandi bai,193.00,290.00,5,965.00,,9501034689007
196,2715,TAYAS ORIENT HAZELNUTS,,MAHAVIR,30.00,70.00,9,270.00,,8690997022448
197,2716,TAYAS ORIENT ALMONT,,MAHAVIR,30.00,70.00,10,300.00,,8690997022462
198,2752,HERSHEYS KISSES HAZELNUTS,,local purchase,260.00,450.00,1,260.00,,6942836713027
199,2777,HARIBO CHAMALLOWS,,A ONE SANDEEP,100.00,150.00,6,600.00,,5012035928667
200,2778,CHO CHO CHOCOLATE,,A ONE SANDEEP,160.00,250.00,2,320.01,,8992952910013
201,2779,MAGGI MASALA CHIKAN,,local purchase,9.15,20.00,23,210.44,,6221007004066
202,2780,KOPIKO MINI COFFEE 135,,local purchase,100.00,150.00,4,400.00,,8886001012721
203,2784,TRIDENT ORANGE,,local purchase,50.83,120.00,15,762.51,,070221007386
204,2791,SAFAWI DATES,,APMC,490.00,900.00,27,13220.69,,  
205,2798,LINDT PISTACHE GRILLE,,jublee,210.00,330.00,2,420.01,,3046920010481
206,2800,LINDT SWISS HAZAL NUT 100G,,jublee,230.00,350.00,2,460.00,,7610400010023
207,2801,Julies lemond chocolate 170gm,,MAHAVIR,145.00,200.00,12,1740.01,,9556121022496
208,2819,ALMARAI CHEESE 120G,,local purchase,176.00,230.00,5,880.00,,6281007035378
209,2820,KIT KAT WHITE,,MAHAVIR,16.66,75.00,5,83.30,,7613035510999
210,2821,SINCERO MIXED BERRIES,,DIVIN FOODS,349.30,499.00,1,349.33,,8888192050889
211,2825,SINCERO BLUEBERRIES,,DIVIN FOODS,349.30,499.00,3,1047.82,,8888192050858
212,2827,SINCERO RAISINS,,DIVIN FOODS,349.30,499.00,4,1397.09,,8888192050865
213,2831,TOFFO ORIGINAL TOFFEE,,local purchase,14.50,20.00,79,1145.52,,6294003544188
214,2834,TAYAS ORIENT,,MAHAVIR,30.00,70.00,6,180.00,,8690997022455
215,2840,OREO SOFT CAKE,,MAHAVIR,15.83,25.00,72,1139.75,,7622300335809
216,2842,QUINOA PUFFS ZESTY KALE,,JETHALAL MEGHJI TRADING CO,57.14,80.00,1,50.00,21069099,8908006634057
217,2843,QUINOA PUFFS SAUCY SALSA,,JETHALAL MEGHJI TRADING CO,57.14,80.00,5,250.01,,8908006634064
218,2851,Nuts Mix SPL,,D D INTERNATIONAL,699.79,1000.00,0,2.80,,  
219,2852,SNICKERS MINIATURES150G,,prathamesh enterprise,105.00,140.00,10,945.06,1806,4011100037915
220,2875,ROYAL DANSK CHOCOLATE,,A J INTEX,263.00,350.00,10,2630.00,,077330337786
221,2889,RAHM MANDEL CHOCOLATE,,jublee,240.00,370.00,3,720.00,,22111111
222,2892,NIPPLE JAR,,local purchase,14.00,30.00,34,476.03,,6914204335285
223,2897,BOURNVILLE CLASSIC,,jublee,220.00,330.00,1,220.01,,7622210098917
224,2899,kismis afgan big,,THATHAKER,725.00,1400.00,11,8249.05,,  
225,2900,AMERICAN STYLE COCNUT JUICE 300ML,,A ONE SANDEEP,50.00,75.00,1,50.00,,8859032701339
226,2902,TANGO ALMONDS 140G,,A J INTEX,76.00,150.00,28,2128.00,,9556032030474
227,2903,TANGO MILK CHOCO 140G,,A J INTEX,76.00,150.00,30,2280.00,,9556032030467
228,2906,NESTLE NIDO FORTIFIE 400G,,MAHAVIR,420.00,530.00,5,2100.29,,8717896007168
229,2907,LINDT EXCELLENCE 78% CACAO,,jublee,210.00,330.00,2,420.02,,3046920010047
